檢體名稱,餐廳名稱,抽驗地點,檢驗結果,不符合規定原因,來源年份,來源縣市,經度,緯度
桂圓核桃蛋糕,新北市新店區店家,新北市新店區復興路111號,合格,己二烯酸未檢出苯甲酸未檢出丙酸及其鹽類未檢出去水醋酸未檢出,107,新北市,121.534172036468,24.987778000062
丹麥蜂蜜年輪,新北市新店區店家,新北市新店區復興路111號,合格,去水醋酸未檢出丙酸及其鹽類未檢出己二烯酸未檢出苯甲酸未檢出,107,新北市,121.534172036468,24.987778000062
思念Q餅,新北市新店區店家,新北市新店區中正路501之8號1樓,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出丙酸及其鹽類未檢出,107,新北市,121.533580106466,24.983617181416
奶油酥餅,奶油,新北市新莊區中正路721巷3號1、2樓,合格,去水醋酸未檢出丙酸及其鹽類未檢出己二烯酸未檢出苯甲酸未檢出,107,新北市,121.423785975866,25.02871701728
太陽餅,新北市新莊區店家,新北市新莊區中正路721巷3號1、2樓,合格,去水醋酸未檢出丙酸及其鹽類未檢出己二烯酸未檢出苯甲酸未檢出,107,新北市,121.423785975866,25.02871701728
鳳梨酥,鳳梨酥,新北市五股區成泰路1段87號,合格,去水醋酸未檢出丙酸及其鹽類未檢出己二烯酸未檢出苯甲酸未檢出,107,新北市,121.435018480492,25.06879190219
牛奶太陽餅,牛奶,新北市五股區成泰路1段87號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出丙酸及其鹽類未檢出,107,新北市,121.435018480492,25.06879190219
起司土司,起司,新北市板橋區中正路332號地下室之7,合格,去水醋酸未檢出丙酸及其鹽類未檢出己二烯酸未檢出苯甲酸未檢出,107,新北市,121.454358213327,25.022153819456
葡萄餐包,葡萄,新北市板橋區中正路332號地下室之7,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出丙酸及其鹽類未檢出,107,新北市,121.454358213327,25.022153819456
帕里尼,桃園市桃園區店家,桃園市桃園區龍壽街206-1號,合格,去水醋酸未檢出丙酸及其鹽類未檢出己二烯酸未檢出苯甲酸未檢出,107,新北市,121.268269988367,24.986559983802
